Transaction_ID,Customer_ID,Name,Email,Phone,Address,City,State,Zipcode,Country,Age,Gender,Income,Customer_Segment,Date,Year,Month,Time,Total_Purchases,Amount,Total_Amount,Product_Category,Product_Brand,Product_Type,Feedback,Shipping_Method,Payment_Method,Order_Status,Ratings,products
3411240,41838,Christopher Fox,Alexander13@gmail.com,1598098544,570 Hicks Key Apt. 857,Portsmouth,England,99819,UK,24,Male,Medium,Regular,2/26/2024,2024,February,12:20:38,8,120.3348369,962.678695,Grocery,Coca-Cola,Soft Drink,Good,Express,Cash,Processing,3,Cola
2577735,77842,Jessica Owens DVM,Taylor14@gmail.com,4484411610,77940 Christopher Bypass,Portsmouth,England,92878,UK,24,Female,Medium,Regular,2/26/2024,2024,February,3:35:08,7,394.375101,2760.625707,Electronics,Sony,Headphones,Average,Express,Debit Card,Pending,2,Gaming headphones
4919237,18325,Rebecca Hicks,Laura11@gmail.com,1068013992,92577 Solis Locks Suite 427,Portsmouth,England,16628,UK,24,Male,Medium,Regular,2/26/2024,2024,February,1:12:20,4,121.5515201,486.2060804,Clothing,Zara,Jeans,Average,Standard,Cash,Processing,2,Straight-leg jeans
4595549,33867,Andrea Johnson,Patrick46@gmail.com,8452355322,19537 Jackson Plains Apt. 848,Portsmouth,England,11747,UK,24,Male,Medium,Regular,2/26/2024,2024,February,3:28:47,4,482.5773232,1930.309293,Clothing,Adidas,Jacket,Excellent,Express,PayPal,Shipped,4,Denim jacket
5938124,73988,Amy Smith,Dawn89@gmail.com,4895194533,7389 Michael Springs Suite 649,Portsmouth,England,17740,UK,24,Male,Medium,Regular,2/26/2024,2024,February,18:43:01,4,456.5887511,1826.355005,Home Decor,IKEA,Lighting,Bad,Standard,Cash,Pending,1,Chandeliers
4202603,59346,Maxwell Lane,Ashley61@gmail.com,4431638944,4130 Nicholas Drives Suite 704,Portsmouth,England,97375,UK,24,Male,Medium,Regular,2/26/2024,2024,February,14:45:08,5,370.6712313,1853.356157,Electronics,Samsung,Tablet,Average,Same-Day,Credit Card,Pending,2,Google Pixel Slate
2556283,62362,William Miller,Amanda27@gmail.com,5912390538,6677 Simmons Loaf Apt. 826,Portsmouth,England,16363,UK,24,Male,Medium,Regular,2/26/2024,2024,February,7:45:18,3,172.6251952,517.8755855,Books,Random House,Fiction,Bad,Same-Day,Debit Card,Shipped,1,Historical fiction
4725702,60187,Natalie Kim,Stephanie68@gmail.com,8909620310,0991 Flores Place Suite 800,Portsmouth,England,91675,UK,24,Female,Medium,Regular,2/26/2024,2024,February,20:57:51,10,204.1388727,2041.388727,Home Decor,Home Depot,Tools,Excellent,Express,Credit Card,Processing,5,Caulking gun
2287074,19202,Catherine Moran,Julie41@gmail.com,1480959537,93869 Allen Meadow,Portsmouth,England,68213,UK,48,Male,Medium,Regular,2/26/2024,2024,February,11:48:22,1,256.8237927,256.8237927,Home Decor,IKEA,Furniture,Bad,Express,PayPal,Delivered,1,Sofa
4112156,33325,Joshua Wagner,John17@gmail.com,2408740572,36877 Mary Street,Portsmouth,England,62507,UK,19,Male,Medium,Regular,2/26/2024,2024,February,17:27:53,1,349.3817629,349.3817629,Grocery,Pepsi,Water,Good,Standard,Debit Card,Delivered,3,Coconut water
4043441,88783,Lori Vang,Michele44@gmail.com,8825151743,6083 David Landing Apt. 771,Portsmouth,England,88877,UK,19,Female,Medium,Regular,2/26/2024,2024,February,15:53:49,3,249.5398517,748.619555,Home Decor,IKEA,Lighting,Good,Same-Day,PayPal,Pending,3,Under cabinet lighting
7852660,14331,Felicia Sellers,James88@gmail.com,2925964006,09248 Rachel Mountains,Portsmouth,England,19649,UK,19,Female,Medium,Regular,2/26/2024,2024,February,4:07:40,9,22.17402822,199.566254,Electronics,Samsung,Tablet,Good,Standard,Debit Card,Delivered,4,Samsung Galaxy Tab
8152889,24057,Mike Vasquez,Joshua14@gmail.com,3330001034,266 Kramer Pines,Portsmouth,England,22396,UK,19,Male,Medium,Regular,2/26/2024,2024,February,23:33:18,5,48.44164775,242.2082388,Books,Random House,Non-Fiction,Average,Standard,Debit Card,Delivered,2,Travel
5733921,70381,Robert Carter,Elizabeth18@gmail.com,5755034458,773 Johnson Branch Apt. 546,Portsmouth,England,39628,UK,19,Female,Medium,Regular,2/26/2024,2024,February,12:03:00,4,433.6161885,1734.464754,Electronics,Sony,Headphones,Average,Standard,Credit Card,Delivered,2,Bluetooth headphones
6354203,81823,Lisa Petty,Shannon13@gmail.com,3342229185,3143 Amber Creek Suite 525,Portsmouth,England,61672,UK,19,Female,Medium,Regular,2/26/2024,2024,February,18:23:58,3,190.2576763,570.773029,Electronics,Samsung,Smartphone,Good,Express,PayPal,Delivered,3,Huawei P
2857332,79049,Todd Rodriguez,Justin94@gmail.com,4953698668,393 Horn Pass Suite 907,Portsmouth,England,87998,UK,19,Female,Medium,Regular,2/26/2024,2024,February,21:47:36,5,27.95005493,139.7502746,Electronics,Samsung,Smartphone,Good,Same-Day,,Delivered,3,iPhone
8937386,23254,Brian Wood,Edward24@gmail.com,6629060703,85942 Abigail Grove Suite 119,Portsmouth,England,43694,UK,19,Female,Medium,Regular,2/26/2024,2024,February,18:47:52,10,413.7025687,4137.025687,Clothing,Nike,Shoes,Average,Express,Credit Card,Delivered,2,Loafers
4349542,53537,Kendra Mclean,Melissa78@gmail.com,6562390760,7872 Guzman Harbor Apt. 468,Portsmouth,England,3495,UK,19,Female,Medium,Regular,2/26/2024,2024,February,9:21:20,6,464.9602435,2789.761461,Electronics,Samsung,Smartphone,Average,Same-Day,Credit Card,Delivered,2,Xiaomi Mi
3586137,30242,Leslie Martinez,Robert13@gmail.com,4992994215,36816 James Throughway Suite 435,Portsmouth,England,3821,UK,19,Male,Medium,Regular,2/26/2024,2024,February,8:39:01,10,58.97860355,589.7860355,Grocery,Coca-Cola,Soft Drink,Good,Standard,Debit Card,Delivered,4,Grape soda
7335724,79098,Craig Woods,Charles42@gmail.com,6892492878,88457 Walter Trail Suite 106,Portsmouth,England,29552,UK,19,Male,Medium,Regular,2/26/2024,2024,February,2:59:42,3,126.7707554,380.3122663,Books,HarperCollins,Thriller,Good,Standard,Cash,Delivered,3,Adventure
1567406,83162,Rebecca Whitaker,Ann66@gmail.com,1758207667,1745 James Pine,Portsmouth,England,97855,UK,19,Female,Medium,Regular,2/26/2024,2024,February,15:12:28,9,498.5680249,4487.112224,Books,Penguin Books,Fiction,Bad,Standard,Credit Card,Delivered,1,Fantasy
5811358,10222,Steven Cisneros,Dustin100@gmail.com,9456961999,63457 Daniel Well Suite 283,Portsmouth,England,72968,UK,19,Female,Medium,Regular,2/26/2024,2024,February,9:11:39,10,424.4719248,4244.719248,Home Decor,Bed Bath & Beyond,Bathroom,Excellent,Express,Cash,Delivered,4,Toilet
2208039,34442,Anita Miller,Kathleen56@gmail.com,5450775120,207 Chad Park,Portsmouth,England,7358,UK,19,Male,Medium,Regular,2/26/2024,2024,February,18:48:32,4,444.7970246,1779.188099,Clothing,Adidas,Shoes,Average,Standard,PayPal,Delivered,2,Boots
5970418,74543,Charles Perez,Matthew99@gmail.com,6360745313,805 Beck Summit Suite 379,Portsmouth,England,54967,UK,19,Male,Medium,Regular,2/26/2024,2024,February,12:42:11,5,494.3972147,2471.986073,Home Decor,IKEA,Decorations,Bad,Same-Day,Cash,Delivered,1,Wall art
5589634,38281,Ian Richards,Brittany60@gmail.com,8712470004,1674 Kathleen Islands Suite 812,Portsmouth,England,81072,UK,19,Female,Medium,Regular,2/26/2024,2024,February,20:27:20,7,47.31564046,331.2094832,Grocery,Coca-Cola,Soft Drink,Average,Same-Day,PayPal,Delivered,2,Energy drink
3141169,28894,Russell Bradley,Darren94@gmail.com,4079879325,17506 Valentine Crossroad,Portsmouth,England,52206,UK,19,Male,Medium,Regular,2/26/2024,2024,February,20:28:03,8,198.6215293,1588.972235,Clothing,Zara,Shirt,Excellent,Express,PayPal,Delivered,4,Blouse
5035303,76030,Shawn Ramos,Andrea92@gmail.com,6799137213,148 Mary Shoals,Portsmouth,England,7177,UK,19,Male,Medium,Regular,2/26/2024,2024,February,15:16:20,4,57.32333068,229.2933227,Grocery,Nestle,Chocolate,Good,Same-Day,Debit Card,Delivered,4,Chocolate mousse
6083409,23424,Tanya Smith,Steven71@gmail.com,7516182501,7378 Jenkins Canyon Apt. 772,Portsmouth,England,61415,UK,19,Female,Medium,Regular,2/26/2024,2024,February,18:54:02,4,183.8017495,735.2069979,Grocery,Coca-Cola,Soft Drink,Average,Express,Cash,Delivered,2,Iced tea
4292517,41338,Randy Stokes,Victor65@gmail.com,6448240782,654 Morales Forge,Portsmouth,England,97084,UK,19,Female,Medium,Regular,2/26/2024,2024,February,2:10:26,2,19.98206859,39.96413717,Grocery,Pepsi,Soft Drink,Excellent,Express,Credit Card,Delivered,4,Ginger ale
4858857,66671,Kenneth Yates,Daniel55@gmail.com,9751954118,95839 Jessica Manors,Portsmouth,England,23388,UK,19,Male,Medium,Regular,2/26/2024,2024,February,10:24:57,3,349.0081109,1047.024333,Books,Random House,Fiction,Good,Standard,PayPal,Delivered,4,Mystery
3473623,37093,Ronald Kaufman,Mark95@gmail.com,7870370765,9301 Adrian Cliffs Apt. 966,Portsmouth,England,6726,UK,19,Male,Medium,Regular,2/26/2024,2024,February,0:53:44,2,305.7986296,611.5972592,Clothing,Nike,Shorts,Excellent,Same-Day,PayPal,Delivered,5,Bermuda shorts
9223409,35673,Stephanie Roberts,Robert57@gmail.com,2745178986,0180 Moore Locks Suite 815,Portsmouth,England,46229,UK,19,Female,Medium,Regular,2/26/2024,2024,February,12:05:15,3,223.5167662,670.5502985,Grocery,Coca-Cola,Water,Good,Standard,Cash,Delivered,3,Flavored water
6156826,73366,Barry Patterson,Amy88@gmail.com,6359471332,214 Moore Circle,Portsmouth,England,97633,UK,19,Male,Medium,Regular,2/26/2024,2024,February,1:27:37,8,275.1007841,2200.806273,Electronics,Apple,Tablet,Excellent,Standard,Debit Card,Delivered,5,Samsung Galaxy Tab
9491170,20354,Ashley Reyes,Jessica99@gmail.com,8810204451,179 Mills Parkway,Portsmouth,England,1457,UK,19,Female,Medium,Regular,2/26/2024,2024,February,15:49:44,4,199.370127,797.4805081,Grocery,Nestle,Chocolate,Average,Express,Cash,Delivered,2,Truffles
8010360,62186,Edward James,Michelle27@gmail.com,3219892462,11574 Davis Mews,Portsmouth,England,74353,UK,19,Male,Medium,Regular,2/26/2024,2024,February,19:23:26,3,120.2303061,360.6909184,Books,Random House,Non-Fiction,Bad,Same-Day,PayPal,Delivered,1,Health
5824138,91098,Anthony Wilson,Christopher72@gmail.com,3936825500,30220 Garcia Crossing Suite 996,Portsmouth,England,12094,UK,19,Male,Medium,Regular,2/26/2024,2024,February,7:16:03,6,357.192401,2143.154406,Grocery,Coca-Cola,Soft Drink,Bad,Standard,Cash,Delivered,1,Orange soda
7163976,33565,Joseph Russell,Ronnie64@gmail.com,8993216843,80118 Brooks Shores,Regina,Ontario,98980,Canada,19,Male,Medium,New,2/26/2024,2024,February,5:43:00,3,164.5626291,493.6878872,Clothing,Adidas,T-shirt,Average,Express,PayPal,Delivered,2,Graphic tee
6090569,99548,Valerie Wise,Jeffrey61@gmail.com,7299284446,5636 James Trafficway,Fort Worth,New Mexico,69196,USA,19,Male,Medium,New,2/26/2024,2024,February,22:11:58,1,283.0242412,283.0242412,Books,HarperCollins,Thriller,Average,Standard,PayPal,Delivered,2,Techno-thriller
6550100,91620,Matthew Wright,John76@gmail.com,4146606860,1504 Rivera Meadows Apt. 760,Fort Worth,New Mexico,54550,USA,19,Female,Medium,New,2/26/2024,2024,February,19:01:24,4,224.9632858,899.8531431,Home Decor,Bed Bath & Beyond,Bedding,Good,Same-Day,Credit Card,Delivered,4,Comforter
7504690,83466,Kristine Mason,Angela73@gmail.com,8198405711,158 Heather Summit,Fort Worth,New Mexico,28046,USA,19,Female,Medium,New,2/26/2024,2024,February,10:49:14,5,103.9321885,519.6609424,Clothing,Adidas,Shoes,Good,Standard,PayPal,Delivered,3,Sandals
3153897,93187,Thomas Young,Hannah77@gmail.com,5932213135,5192 Welch Falls,Fort Worth,New Mexico,22221,USA,19,Female,Medium,New,2/26/2024,2024,February,5:09:25,3,432.0395842,1296.118753,Electronics,Apple,Tablet,Average,Standard,Debit Card,Delivered,2,iPad
4914765,69042,Sabrina Young,David28@gmail.com,4950940720,7255 Jeffrey Streets Apt. 258,Fort Worth,New Mexico,93621,USA,19,Female,Medium,New,2/26/2024,2024,February,3:23:24,8,102.1263682,817.0109459,Clothing,Adidas,Jacket,Good,Standard,Credit Card,Delivered,4,Leather jacket
6330949,27982,Sarah Rowe,Kevin33@gmail.com,2462541125,135 Jerry Parkway,Fort Worth,New Mexico,2801,USA,19,Female,Medium,New,2/26/2024,2024,February,1:21:48,3,418.1736888,1254.521067,Home Decor,Bed Bath & Beyond,Bathroom,Average,Express,Cash,Delivered,2,Toothbrush holder
2372226,39831,Lynn Gray,Kristine6@gmail.com,2438133814,754 Patel Points Apt. 164,Fort Worth,New Mexico,43041,USA,19,Female,Low,New,2/26/2024,2024,February,8:01:36,1,33.29786,33.29786,Books,Penguin Books,Non-Fiction,Bad,Standard,Debit Card,Delivered,1,Memoir
7758017,55518,Jonathan Ramsey,Mariah73@gmail.com,2778039971,721 Gallagher Glen,Fort Worth,New Mexico,19265,USA,19,Male,Low,New,2/26/2024,2024,February,7:07:49,1,14.11532567,14.11532567,Grocery,Coca-Cola,Water,Good,Standard,PayPal,Delivered,4,Flavored water
5405352,38775,Dawn Brown,Paul57@gmail.com,7640338138,248 Michelle Spur Apt. 617,Fort Worth,New Mexico,95143,USA,19,Male,Low,New,2/26/2024,2024,February,8:25:09,5,238.3198539,1191.599269,Home Decor,Home Depot,Decorations,Excellent,Express,Credit Card,Delivered,4,Clocks
2423800,96135,Robert Moody,Rhonda62@gmail.com,5481596282,2301 Barr Canyon Suite 510,Frankfurt,Berlin,18404,Germany,22,Male,Low,New,2/26/2024,2024,February,9:12:36,3,351.118557,1053.355671,Books,Penguin Books,Non-Fiction,Bad,Same-Day,Debit Card,Delivered,1,Science
5446029,49538,Julie Baldwin,Kimberly64@gmail.com,6792315757,8971 Christine Points,Frankfurt,Berlin,56498,Germany,22,Female,Medium,Regular,2/26/2024,2024,February,19:45:31,6,206.3248481,1237.949089,Grocery,Pepsi,Soft Drink,Average,Standard,PayPal,Delivered,2,Cola
2765055,55452,Jason Powell,Matthew32@gmail.com,1822623801,038 Morgan Square,Frankfurt,Berlin,74555,Germany,22,Male,Medium,Regular,2/26/2024,2024,February,21:25:36,5,19.57502356,97.87511781,Books,HarperCollins,Thriller,Average,Standard,PayPal,Delivered,2,Adventure
1289007,46869,Nicholas Beltran,Mary97@gmail.com,9565647203,36877 Carol Neck Apt. 886,Frankfurt,Berlin,92766,Germany,22,Male,Medium,Regular,2/26/2024,2024,February,14:30:12,5,226.7911319,1133.95566,Books,HarperCollins,Fiction,Good,Same-Day,Credit Card,Delivered,4,Dystopian
5634670,47875,David Strickland,Micheal37@gmail.com,8898345371,6923 Alfred Center Apt. 372,Frankfurt,Berlin,9375,Germany,22,Male,Medium,Regular,2/26/2024,2024,February,17:01:37,10,311.509518,3115.09518,Electronics,Samsung,Television,Average,Same-Day,Credit Card,Delivered,2,OLED TV
7732363,41940,Maria Singleton,Stephanie100@gmail.com,4520136465,44439 Fisher Pass Suite 529,Frankfurt,Berlin,60020,Germany,22,Female,Medium,Regular,2/26/2024,2024,February,1:57:47,7,188.8387946,1321.871562,Clothing,Zara,Dress,Average,Express,Credit Card,Delivered,2,Maxi dress
9591168,25472,Heather Rodriguez,Adam9@gmail.com,4973091055,24045 Brown Bridge Suite 765,Frankfurt,Berlin,46283,Germany,22,Female,Medium,Regular,2/26/2024,2024,February,14:48:46,4,277.161991,1108.647964,Home Decor,Home Depot,Furniture,Excellent,Same-Day,Credit Card,Delivered,5,TV stand
6710161,73062,Paige Melton,Patty76@gmail.com,4947026047,35432 Ethan Coves,Frankfurt,Berlin,59623,Germany,22,Female,Medium,Regular,2/26/2024,2024,February,2:56:03,3,245.6428318,736.9284953,Clothing,Nike,Shorts,Bad,Standard,Cash,Delivered,1,Bermuda shorts
2521572,66862,Lauren Gonzalez,Madeline92@gmail.com,7612659977,80320 Kim Club Suite 414,Frankfurt,Berlin,12930,Germany,22,Female,Medium,Regular,2/26/2024,2024,February,20:51:35,2,293.8388335,587.6776669,Home Decor,IKEA,Furniture,Good,Same-Day,Credit Card,Delivered,4,Dresser
2981406,81646,Eric Chambers,Michael63@gmail.com,8226816778,58440 Natalie Ranch,Frankfurt,Berlin,67635,Germany,22,Male,Medium,Regular,2/26/2024,2024,February,18:36:59,2,298.7358473,597.4716945,Electronics,Apple,Tablet,Good,Same-Day,Debit Card,Delivered,3,Google Pixel Slate
1903822,62812,Kathy Santana,Jenna40@gmail.com,5963492661,00272 Edward Ridge Suite 471,Frankfurt,Berlin,9561,Germany,22,Male,Medium,Regular,2/26/2024,2024,February,12:53:10,1,80.57862324,80.57862324,Grocery,Coca-Cola,Water,Good,Express,Cash,Delivered,4,Sparkling water
3060655,97084,Donna Schroeder,Michael96@gmail.com,1454903277,237 Karen Extensions,Frankfurt,Berlin,92015,Germany,22,Male,Medium,Regular,2/26/2024,2024,February,0:13:29,3,147.4770493,442.431148,Grocery,Coca-Cola,Juice,Excellent,Same-Day,Cash,Delivered,4,Orange juice
5738878,90742,Jeremy Peterson,Daniel99@gmail.com,7595925740,38893 Makayla Drive Apt. 940,Frankfurt,Berlin,58537,Germany,52,Male,Medium,Regular,2/26/2024,2024,February,3:47:11,9,63.35494951,570.1945456,Clothing,Zara,Shirt,Bad,Express,Debit Card,Delivered,1,Hoodie
1668035,72703,Jason Carey,Jennifer41@gmail.com,9293801898,8570 Williams Trail,Frankfurt,Berlin,34464,Germany,22,Male,Medium,Regular,2/26/2024,2024,February,20:57:35,5,118.9791323,594.8956613,Clothing,Nike,Shoes,Average,Same-Day,Debit Card,Delivered,2,Slippers
9877029,79490,Richard Bennett,Raymond7@gmail.com,1198974544,834 Thomas Plaza Apt. 765,Frankfurt,Berlin,86494,Germany,22,Female,Medium,Regular,2/26/2024,2024,February,23:34:10,1,344.5514129,344.5514129,Books,Penguin Books,Non-Fiction,Excellent,Standard,PayPal,Delivered,5,Self-help
7684324,89874,Susan Garcia,Vincent11@gmail.com,9404462870,87050 Bryant Plain Apt. 874,Frankfurt,Berlin,1502,Germany,22,Male,High,Regular,2/26/2024,2024,February,19:00:13,2,248.090372,496.1807441,Electronics,Sony,Television,Bad,Standard,Cash,Delivered,1,LED TV
2397217,47675,Chris Robinson,Gregory2@gmail.com,3044683901,75160 Marcus Bridge,Frankfurt,Berlin,46797,Germany,22,Female,High,Regular,2/26/2024,2024,February,19:50:52,1,443.1361472,443.1361472,Books,HarperCollins,Fiction,Bad,Same-Day,Debit Card,Delivered,1,Romance
3457815,99043,Lisa Blevins,John33@gmail.com,8516959032,86883 Noble Valleys,Frankfurt,Berlin,37065,Germany,22,Male,High,Regular,2/26/2024,2024,February,20:08:56,5,460.3126439,2301.56322,Electronics,Sony,Smartphone,Good,Same-Day,PayPal,Delivered,3,Samsung Galaxy
3174773,68300,Eric Rocha,Stephen95@gmail.com,3795308551,36220 Hobbs Islands Suite 659,Frankfurt,Berlin,29705,Germany,22,Male,High,Regular,2/26/2024,2024,February,21:49:13,3,237.159794,711.4793821,Books,Random House,Fiction,Bad,Standard,PayPal,Delivered,1,Fantasy
7910379,32209,Christy Garrison,Cassandra84@gmail.com,3575395709,39092 English Knoll,Frankfurt,Berlin,92276,Germany,22,Male,High,Regular,2/26/2024,2024,February,8:59:52,1,457.4877456,457.4877456,Clothing,Nike,Shoes,Bad,Same-Day,Cash,Delivered,1,Sneakers
4750099,45659,Benjamin Sandoval,Eric33@gmail.com,2808359945,776 Salazar Street,Birmingham,England,96340,UK,22,Female,High,Regular,2/26/2024,2024,February,6:57:28,1,58.97360766,58.97360766,Clothing,Adidas,T-shirt,Good,Same-Day,Debit Card,Delivered,3,Long-sleeve tee
2729745,83733,Debra King,Olivia23@gmail.com,6938773010,84853 Brandon Trail Suite 024,Newcastle upon Tyne,England,46255,UK,22,Male,High,Regular,2/26/2024,2024,February,13:05:13,2,58.60786409,117.2157282,Home Decor,IKEA,Lighting,Bad,Express,Cash,Delivered,1,Chandeliers
1994124,20614,Brett Robles,Kimberly54@gmail.com,4279637621,4493 Estrada Streets,Dallas,Texas,78893,USA,22,Female,High,Regular,2/26/2024,2024,February,7:26:46,4,126.790255,507.16102,Home Decor,Bed Bath & Beyond,Kitchen,Good,Express,PayPal,Delivered,4,Coffee maker
9565150,41877,Jamie Thomas MD,Jill37@gmail.com,3854336556,72414 Ralph Gardens,Wollongong,New South Wales,77053,Australia,22,Male,High,Regular,2/26/2024,2024,February,17:29:30,4,270.0743237,1080.297295,Clothing,Adidas,Shoes,Good,Express,PayPal,Delivered,3,High heels
3358574,38707,Alejandro Poole,Nathan30@gmail.com,4659804345,19838 Rebecca Avenue,Perth,New South Wales,83852,Australia,22,Female,Low,Regular,2/26/2024,2024,February,3:07:04,6,19.99443162,119.9665897,Grocery,Pepsi,Water,Average,Express,Debit Card,Delivered,2,Flavored water
4836461,71787,Stacy Williams,Mark37@gmail.com,5045165913,9478 Joshua Underpass Suite 729,Perth,New South Wales,96110,Australia,22,Male,High,Regular,2/26/2024,2024,February,12:52:16,4,196.8163066,787.2652264,Grocery,Pepsi,Juice,Bad,Express,Cash,Delivered,1,Cranberry juice
5479556,95537,Brittany Rogers,Adam15@gmail.com,9748327840,017 Ashley Cliffs Apt. 873,Belfast,England,16079,UK,22,Female,Low,Regular,2/26/2024,2024,February,22:57:00,2,364.5249604,729.0499208,Grocery,Coca-Cola,Juice,Bad,Same-Day,Credit Card,Delivered,1,Pomegranate juice
9729795,96593,Lisa Stanley,John60@gmail.com,4965045337,90187 Kaylee Mall Apt. 491,Munich,Berlin,25058,Germany,22,Male,Medium,Regular,2/26/2024,2024,February,10:52:27,5,67.69240179,338.4620089,Electronics,Sony,Smartphone,Bad,Standard,Credit Card,Delivered,1,OnePlus
4527681,61099,Jim Reed,Laurie39@gmail.com,9974241196,4823 Michael Manor,Montreal,Ontario,46481,Canada,22,Male,High,Regular,2/26/2024,2024,February,10:37:19,5,434.7468999,2173.7345,Home Decor,Home Depot,Tools,Bad,Express,Debit Card,Delivered,1,Wrench
7368665,63006,Angela Wallace,Tyler90@gmail.com,5288025343,9282 Holly Squares,Mesa,Missouri,65617,USA,22,Female,Medium,Regular,2/26/2024,2024,February,16:47:32,5,115.816161,579.0808051,Electronics,Apple,Laptop,Bad,Same-Day,PayPal,Delivered,1,Microsoft Surface Laptop
2688964,43394,Ryan Silva MD,Michaela53@gmail.com,6702698016,98102 Brandon Ferry Apt. 796,Halifax,Ontario,93120,Canada,22,Female,Low,Regular,2/26/2024,2024,February,19:15:10,3,322.8196292,968.4588875,Electronics,Samsung,Television,Excellent,Express,Credit Card,Delivered,5,LED TV
1609402,55102,Paul Sheppard,Amanda78@gmail.com,3900696416,953 Steven Creek,Essen,Berlin,41711,Germany,22,Male,Medium,Regular,2/26/2024,2024,February,21:59:20,9,338.4189076,3045.770169,Grocery,Pepsi,Juice,Good,Standard,PayPal,Delivered,3,Mango juice
4982263,11308,Ian Potter,Ronald63@gmail.com,2860666264,25233 Susan Valley,Mackay,New South Wales,48134,Australia,22,Male,Medium,Regular,2/26/2024,2024,February,12:52:31,3,97.15889092,291.4766728,Clothing,Zara,Dress,Average,Same-Day,Cash,Delivered,2,Sheath dress
